state,type,title,url,description,subject,is_valid_url,is_state,is_valid
Illinois,AQ,Assisted Reproductive Healthcare Advisory Question,https://ballotpedia.org/Illinois_Assisted_Reproductive_Healthcare_Advisory_Question_(2024),"Advise state officials on whether to provide for medically assisted reproductive treatments, including in vitro fertilization, to be covered by any health insurance plan in Illinois that provides full coverage to pregnancy benefits",,1,1,1
Illinois,AQ,Income Tax Advisory Question,https://ballotpedia.org/Illinois_Income_Tax_Advisory_Question_(2024),Advise state officials on whether to amend the Illinois Constitution to create an additional 3% tax on income greater than $1 million for the purpose of dedicating funds to property tax relief,,1,1,1
Illinois,AQ,Penalties for Candidate Interference with Election Worker's Duties Advisory Question,https://ballotpedia.org/Illinois_Penalties_for_Candidate_Interference_with_Election_Worker%27s_Duties_Advisory_Question_(2024),Advise state officials on whether to establish civil penalties if a candidate interferes or attempts to interfere with an election worker's official duties,,1,1,1
Kentucky,LRCA,Allow State Funding for Non-Public Education Amendment,https://ballotpedia.org/Kentucky_Allow_State_Funding_for_Non-Public_Education_Amendment_(2024),Allow the state to provide funding for non-public education,,1,1,1
Kentucky,LRCA,Citizenship Requirement for Voting Amendment,https://ballotpedia.org/Kentucky_Citizenship_Requirement_for_Voting_Amendment_(2024),Require U.S. citizenship to be able to vote in the state,,1,1,1
Louisiana,LRCA,Outer Continental Shelf Revenues for Coastal Protection and Restoration Fund Amendment,https://ballotpedia.org/Louisiana_Outer_Continental_Shelf_Revenues_for_Coastal_Protection_and_Restoration_Fund_Amendment_(2024),"Require federal revenues received by the state from energy production (including wind, solar, tidal, wave, and other alternative or renewable energy sources) to be deposited in the Coastal Protection and Restoration Fund",,1,1,1
Louisiana,LRCA,48-Hour Waiting Period for Concurrence on Appropriation Bills Amendment,https://ballotpedia.org/Louisiana_48-Hour_Waiting_Period_for_Concurrence_on_Appropriation_Bills_Amendment_(December_2024),Prohibit the consideration of a conference committee report or senate amendments on an appropriations bill until 48 hours after the bill and a summary of the proposed changes is distributed to all legislators,,1,1,1
Louisiana,LRCA,Allow Legislature to Extend Regular Sessions to Pass Appropriations Bills Amendment,https://ballotpedia.org/Louisiana_Allow_Legislature_to_Extend_Regular_Sessions_to_Pass_Appropriations_Bills_Amendment_(December_2024),"Allow the state legislature to extend its regular session by two-day increments, up to a maximum of six days, in order to pass a bill appropriating money",,1,1,1
Louisiana,LRCA,Judiciary Commission Investigation of Sitting Judges Amendment,https://ballotpedia.org/Louisiana_Judiciary_Commission_Investigation_of_Sitting_Judges_Amendment_(December_2024),"Increase the membership of the judiciary commission by five members; adds ""malfeasance while in office"" to the list of specific actions that the supreme court can pursue disciplinary action against a judge; provides that the judiciary commission is responsible for investigating and recommending disciplinary actions",,1,1,1
Louisiana,LRCA,Property Tax Sales Administration Amendment,https://ballotpedia.org/Louisiana_Property_Tax_Sales_Administration_Amendment_(December_2024),Provides for the administration of property tax sales,,1,1,1
Maine,IndISS,Question 1,"https://ballotpedia.org/Maine_Question_1,_Limit_Contributions_to_Super_PACs_Initiative_(2024)","Limit the amount of campaign contributions to $5,000 from individuals and entities to political action committees that make independent expenditures",,1,1,1
Maine,BI,Question 2,"https://ballotpedia.org/Maine_Question_2,_Science_and_Technology_Research_and_Commercialization_Bond_Issue_(2024)","Authorize $25 million in general obligation bonds for research, development, and commercialization of for Maine-based public and private institutions in support of technological innovation",,1,1,1
Maine,BI,Question 3,"https://ballotpedia.org/Maine_Question_3,_Historic_Community_Buildings_Bond_Issue_(2024)",Authorize $10 million in general obligation bonds for the restoration of local community buildings,,1,1,1
Maine,BI,Question 4,"https://ballotpedia.org/Maine_Question_4,_Development_and_Maintenance_of_Trails_Bond_Issue_(2024)",Authorize $30 million in general obligation bonds for the development and maintenance of outdoor trails,,1,1,1
Maine,LRSS,Question 5,"https://ballotpedia.org/Maine_Question_5,_State_Flag_Referendum_(2024)",Replace the Maine state flag with a flag consisting of a pine tree and the North Star on a buff background,,1,1,1
Maryland,LRCA,Right to Reproductive Freedom Amendment,https://ballotpedia.org/Maryland_Right_to_Reproductive_Freedom_Amendment_(2024),Establishes a right to reproductive freedom in the state constitution,,1,1,1
Massachusetts,IndISS,Question 1,"https://ballotpedia.org/Massachusetts_Question_1,_Authorization_of_State_Auditor_to_Audit_General_Court_Initiative_(2024)","Authorize the state auditor to audit the state legislature, and remove some existing regulations regarding the auditing process",,1,1,1
Massachusetts,IndISS,Question 2,"https://ballotpedia.org/Massachusetts_Question_2,_Repeal_Competency_Assessment_Requirement_for_High_School_Graduation_Initiative_(2024)",Repeal the requirement that students must achieve a certain competency level on the Massachusetts Comprehensive Assessment System (MCAS) exam to graduate high school,,1,1,1
Massachusetts,IndISS,Question 3,"https://ballotpedia.org/Massachusetts_Question_3,_Unionization_and_Collective_Bargaining_for_Transportation_Network_Drivers_Initiative_(2024)",Provide for unionizing and collective bargaining for transportation network drivers,,1,1,1
Massachusetts,IndISS,Question 4,"https://ballotpedia.org/Massachusetts_Question_4,_Regulated_Access_to_Psychedelic_Substances_Initiative_(2024)",Regulate access to psychedelic substances,,1,1,1
Massachusetts,IndISS,Question 5,"https://ballotpedia.org/Massachusetts_Question_5,_Minimum_Wage_for_Tipped_Employees_Initiative_(2024)",Gradually increase the wage of tipped employees until it meets the state minimum wage in 2029 and still permit tipping in addition to the minimum wage,,1,1,1
Minnesota,LRCA,Environment and Natural Resources Fund Amendment,https://ballotpedia.org/Minnesota_Continue_to_Provide_Lottery_Revenue_to_Environment_and_Natural_Resources_Fund_Amendment_(2024),Extend the dedication of lottery-derived revenue to Environment and Natural Resources Fund for 25 years,,1,1,1
Missouri,LRCA,Amendment 1,"https://ballotpedia.org/Missouri_Amendment_1,_Property_Tax_Exemption_for_Childcare_Establishments_Measure_(August_2024)",Allow childcare establishments to be exempt from property tax,,1,1,1
Missouri,LRCA,Amendment 4,"https://ballotpedia.org/Missouri_Amendment_4,_Allow_Legislature_to_Require_a_City_to_Increase_Funding_without_State_Reimbursement_for_a_Police_Force_Established_by_State_Board_Measure_(August_2024)",Allow the Legislature to pass a law requiring Kansas City to increase funding for the Kansas City Police Department,,1,1,1
Missouri,LRCA,Levying of Fees to Support Salaries of Law Enforcement Personnel Amendment,https://ballotpedia.org/Missouri_Levying_of_Fees_to_Support_Salaries_of_Law_Enforcement_Personnel_Amendment_(2024),Define the administration of justice to include the levying of costs and fees to support the salaries and benefits for law enforcement personnel,,1,1,1
Missouri,LRCA,Require Citizenship to Vote and Prohibit Ranked-Choice Voting Amendment,https://ballotpedia.org/Missouri_Require_Citizenship_to_Vote_and_Prohibit_Ranked-Choice_Voting_Amendment_(2024),Establishes that only citizens who are Missouri residents can vote and prohibits ranked-choice voting,,1,1,1
Nevada,LRCA,Question 1,"https://ballotpedia.org/Nevada_Question_1,_Remove_Constitutional_Status_of_Board_of_Regents_Amendment_(2024)","Remove the constitutional status of the Board of Regents—which governs, controls, and manages the state universities in Nevada—thereby allowing the state legislature to review and change the governing organization of state universities",,1,1,1
Nevada,LRCA,Question 2,"https://ballotpedia.org/Nevada_Question_2,_Revising_Language_Related_to_Public_Entities_for_Individuals_with_Mental_Illness,_Blindness,_or_Deafness_Amendment_(2024)","Revise language in the state constitution related to public entities that benefit individuals with mental illness, blindness, or deafness",,1,1,1
Nevada,CICA,Question 3,"https://ballotpedia.org/Nevada_Question_3,_Top-Five_Ranked-Choice_Voting_Initiative_(2024)",Provide for open top-five primaries and ranked-choice voting for general elections,,1,1,1
Nevada,LRCA,Question 4,"https://ballotpedia.org/Nevada_Question_4,_Remove_Slavery_as_Punishment_for_Crime_from_Constitution_Amendment_(2024)",Repeal language from the Nevada Constitution that allows the use of slavery and involuntary servitude as criminal punishments,,1,1,1
Nevada,LRSS,Question 5,"https://ballotpedia.org/Nevada_Question_5,_Sales_Tax_Exemption_for_Diapers_Measure_(2024)",Amend the Sales and Use Tax of 1955 to provide a sales tax exemption for child and adult diapers,,1,1,1
Nevada,CICA,Right to Abortion Initiative,https://ballotpedia.org/Nevada_Right_to_Abortion_Initiative_(2024),"Provide for a state constitutional right to an abortion, providing for the state to regulate abortion after fetal viability",,1,1,1
Nevada,CICA,Voter Identification Initiative,https://ballotpedia.org/Nevada_Voter_Identification_Initiative_(2024),"Require that Nevada residents present a form of photo identification to verify their identity while voting in person, or to verify their identity using the last four digits of their drivers license or social security number when voting by mail",,1,1,1
